Formatted_Date,Clean_Price,Country,Boxes Shipped
2022-05-12,40.18,USA,100
2022-05-11,37.47,USA,122
2022-04-14,80.67,USA,21
2022-06-27,19.78,USA,115
2022-03-15,8.55,USA,77
2022-01-14,37.57,USA,196
2023-05-12,44.198,USA,80
2023-05-11,41.217,USA,97
2023-04-14,88.737,USA,16
2023-06-27,21.758,USA,92
2023-03-15,9.405,USA,61
2023-01-14,41.327,USA,156
2024-05-12,48.6178,USA,64
2024-05-11,45.3387,USA,77
2024-04-14,97.6107,USA,12
2024-06-27,23.9338,USA,73
2024-03-15,10.3455,USA,48
2024-01-14,45.4597,USA,124
2025-05-12,53.47958,USA,51
2025-05-11,49.87257,USA,61
2025-04-14,107.37177,USA,9
2025-06-27,26.32718,USA,58
2025-03-15,11.38005,USA,38
2025-01-14,50.00567,USA,99
