Formatted_Date,Clean_Price,Country,Boxes Shipped
2022-03-28,14.02,USA,296
2022-06-02,3.15,USA,249
2022-08-18,32.41,USA,238
2022-07-25,19.18,USA,353
2022-08-09,11.94,USA,320
2022-01-04,11.57,USA,219
2023-03-28,14.721,USA,245
2023-06-02,3.3075,USA,206
2023-08-18,34.0305,USA,197
2023-07-25,20.139,USA,292
2023-08-09,12.537,USA,265
2023-01-04,12.1485,USA,181
2024-03-28,15.45705,USA,203
2024-06-02,3.472875,USA,170
2024-08-18,35.732025,USA,163
2024-07-25,21.14595,USA,242
2024-08-09,13.16385,USA,219
2024-01-04,12.755925,USA,150
2025-03-28,16.2299025,USA,168
2025-06-02,3.64651875,USA,141
2025-08-18,37.51862625,USA,135
2025-07-25,22.2032475,USA,200
2025-08-09,13.8220425,USA,181
2025-01-04,13.39372125,USA,124
